"Name","Method","Path","Status","File","Error"
"state","GET","/api/v1/runs/run-5c3f5a90561d/state","200","C:\Users\abdelilah.mortaki\Desktop\angular-migration\run-inspection\run-5c3f5a90561d-20260724-003645\api\state.json",
"discovery","GET","/api/v1/runs/run-5c3f5a90561d/discovery","200","C:\Users\abdelilah.mortaki\Desktop\angular-migration\run-inspection\run-5c3f5a90561d-20260724-003645\api\discovery.json",
"analysis","GET","/api/v1/runs/run-5c3f5a90561d/analysis","404","C:\Users\abdelilah.mortaki\Desktop\angular-migration\run-inspection\run-5c3f5a90561d-20260724-003645\api\analysis.json",""
"feasibility","GET","/api/v1/runs/run-5c3f5a90561d/feasibility","404","C:\Users\abdelilah.mortaki\Desktop\angular-migration\run-inspection\run-5c3f5a90561d-20260724-003645\api\feasibility.json",""
"plan","GET","/api/v1/runs/run-5c3f5a90561d/plan","404","C:\Users\abdelilah.mortaki\Desktop\angular-migration\run-inspection\run-5c3f5a90561d-20260724-003645\api\plan.json",""
"plan-review","GET","/api/v1/runs/run-5c3f5a90561d/plan/review","404","C:\Users\abdelilah.mortaki\Desktop\angular-migration\run-inspection\run-5c3f5a90561d-20260724-003645\api\plan-review.json",""
"llm-readiness","GET","/api/v1/llm/readiness","200","C:\Users\abdelilah.mortaki\Desktop\angular-migration\run-inspection\run-5c3f5a90561d-20260724-003645\api\llm-readiness.json",
"llm-activity","GET","/api/v1/runs/run-5c3f5a90561d/llm/activity","200","C:\Users\abdelilah.mortaki\Desktop\angular-migration\run-inspection\run-5c3f5a90561d-20260724-003645\api\llm-activity.json",
"llm-usage","GET","/api/v1/runs/run-5c3f5a90561d/usage","200","C:\Users\abdelilah.mortaki\Desktop\angular-migration\run-inspection\run-5c3f5a90561d-20260724-003645\api\llm-usage.json",
"execution-profiles","GET","/api/v1/runs/run-5c3f5a90561d/execution-profiles","200","C:\Users\abdelilah.mortaki\Desktop\angular-migration\run-inspection\run-5c3f5a90561d-20260724-003645\api\execution-profiles.json",
"baseline","GET","/api/v1/runs/run-5c3f5a90561d/baseline","200","C:\Users\abdelilah.mortaki\Desktop\angular-migration\run-inspection\run-5c3f5a90561d-20260724-003645\api\baseline.json",
"baseline-summary","GET","/api/v1/runs/run-5c3f5a90561d/baseline/summary","200","C:\Users\abdelilah.mortaki\Desktop\angular-migration\run-inspection\run-5c3f5a90561d-20260724-003645\api\baseline-summary.json",
"baseline-targets","GET","/api/v1/runs/run-5c3f5a90561d/baseline/targets","200","C:\Users\abdelilah.mortaki\Desktop\angular-migration\run-inspection\run-5c3f5a90561d-20260724-003645\api\baseline-targets.json",
"baseline-build","GET","/api/v1/runs/run-5c3f5a90561d/baseline/build","200","C:\Users\abdelilah.mortaki\Desktop\angular-migration\run-inspection\run-5c3f5a90561d-20260724-003645\api\baseline-build.json",
"baseline-test","GET","/api/v1/runs/run-5c3f5a90561d/baseline/test","200","C:\Users\abdelilah.mortaki\Desktop\angular-migration\run-inspection\run-5c3f5a90561d-20260724-003645\api\baseline-test.json",
"baseline-lint","GET","/api/v1/runs/run-5c3f5a90561d/baseline/lint","200","C:\Users\abdelilah.mortaki\Desktop\angular-migration\run-inspection\run-5c3f5a90561d-20260724-003645\api\baseline-lint.json",
"baseline-failures","GET","/api/v1/runs/run-5c3f5a90561d/baseline/failures","404","C:\Users\abdelilah.mortaki\Desktop\angular-migration\run-inspection\run-5c3f5a90561d-20260724-003645\api\baseline-failures.json",""
"baseline-routes","GET","/api/v1/runs/run-5c3f5a90561d/baseline/routes","404","C:\Users\abdelilah.mortaki\Desktop\angular-migration\run-inspection\run-5c3f5a90561d-20260724-003645\api\baseline-routes.json",""
"baseline-anchors","GET","/api/v1/runs/run-5c3f5a90561d/baseline/anchors","404","C:\Users\abdelilah.mortaki\Desktop\angular-migration\run-inspection\run-5c3f5a90561d-20260724-003645\api\baseline-anchors.json",""
"baseline-backend-integration","GET","/api/v1/runs/run-5c3f5a90561d/baseline/backend-integration","404","C:\Users\abdelilah.mortaki\Desktop\angular-migration\run-inspection\run-5c3f5a90561d-20260724-003645\api\baseline-backend-integration.json",""
